ts,bearing,raw,confidence,snr_db,coherence,signal_strength
2026-02-05T06:00:00.372Z,171.4,231.3,0.04,-43.4,0.11,0.01
2026-02-05T06:00:00.372Z,176.1,356.3,0.13,-43.4,0.32,0.01
2026-02-05T06:00:00.372Z,192.1,132.0,0.00,-43.4,0.00,0.01
2026-02-05T06:00:00.373Z,158.0,45.5,0.13,-43.4,0.32,0.01
2026-02-05T06:00:00.373Z,179.1,130.1,0.00,-43.4,0.00,0.01
2026-02-05T06:00:00.373Z,177.8,225.2,0.04,-43.4,0.10,0.01
2026-02-05T06:00:00.373Z,116.5,49.6,0.19,-40.9,0.48,0.01
2026-02-05T06:00:00.373Z,107.6,87.7,0.00,-40.9,0.00,0.01
2026-02-05T06:00:00.374Z,126.8,141.3,0.00,-40.9,0.00,0.01
2026-02-05T06:00:00.374Z,128.8,139.9,0.00,-40.9,0.00,0.01
2026-02-05T06:00:00.374Z,145.7,309.8,0.19,-40.9,0.48,0.01
2026-02-05T06:00:00.374Z,147.8,60.4,0.19,-40.9,0.48,0.01
2026-02-05T06:00:00.374Z,143.5,66.0,0.19,-40.8,0.48,0.01
2026-02-05T06:00:00.374Z,154.1,194.4,0.00,-40.8,0.00,0.01
2026-02-05T06:00:00.375Z,193.0,334.5,0.19,-40.8,0.48,0.01
2026-02-05T06:00:00.375Z,179.1,240.2,0.00,-48.6,0.00,0.00
2026-02-05T06:00:00.375Z,233.5,332.5,0.11,-48.0,0.26,0.00
2026-02-05T06:00:00.375Z,234.3,70.2,0.00,-48.0,0.00,0.00
2026-02-05T06:00:00.375Z,255.8,301.8,0.11,-48.0,0.26,0.00
2026-02-05T06:00:00.376Z,257.8,344.4,0.11,-48.1,0.26,0.00
2026-02-05T06:00:00.376Z,217.5,38.5,0.11,-48.0,0.26,0.00
2026-02-05T06:00:00.376Z,159.3,41.4,0.11,-48.0,0.26,0.00
2026-02-05T06:00:00.376Z,188.4,216.1,0.07,-48.0,0.17,0.00
2026-02-05T06:00:00.376Z,133.5,26.9,0.11,-48.0,0.26,0.00
2026-02-05T06:00:00.377Z,110.5,229.7,0.17,-44.6,0.43,0.01
2026-02-05T06:00:00.377Z,173.6,354.0,0.16,-46.5,0.39,0.00
2026-02-05T06:00:00.377Z,178.4,65.4,0.00,-46.4,0.00,0.00
2026-02-05T06:00:00.377Z,155.4,101.1,0.02,-46.4,0.04,0.00
2026-02-05T06:00:00.377Z,192.6,212.9,0.00,-46.4,0.00,0.00
2026-02-05T06:00:00.377Z,213.9,335.9,0.16,-46.4,0.39,0.00
2026-02-05T06:00:00.378Z,174.8,158.5,0.02,-46.4,0.04,0.00
2026-02-05T06:00:00.378Z,201.9,200.9,0.02,-46.5,0.04,0.00
2026-02-05T06:00:00.378Z,232.6,254.9,0.16,-46.5,0.39,0.00
2026-02-05T06:00:00.378Z,207.1,85.0,0.10,-55.0,0.26,0.00
2026-02-05T06:00:00.378Z,167.6,138.7,0.09,-48.7,0.21,0.00
2026-02-05T06:00:00.379Z,170.2,171.3,0.09,-48.7,0.22,0.00
2026-02-05T06:00:00.379Z,169.4,197.1,0.00,-48.7,0.00,0.00
2026-02-05T06:00:00.379Z,152.9,172.4,0.09,-48.7,0.21,0.00
2026-02-05T06:00:00.379Z,202.2,331.7,0.09,-48.7,0.23,0.00
2026-02-05T06:00:00.379Z,188.6,70.4,0.09,-48.7,0.21,0.00
2026-02-05T06:00:00.380Z,166.4,60.3,0.09,-48.6,0.21,0.00
